問題文,画像ファイル,選択肢1,選択肢2,選択肢3,選択肢4,画像の著作権表記
「すごくないですかぁ！？」...だれのセリフ？,,加賀美社長,葛葉,ローレン・イロアス,剣持刀也,
剣持刀也のファンアートのハッシュタグは？,,金剛力也像,アゴアート,イェアート,剣画,
委員長の夢は？,,一流のバーチャルアイドル,オリジナルソングでCDデビュー,地上波進出,Vtuber四天王の一角,
勇気ちひろの公式設定は？,,魔法少女,サキュバス,吸血鬼,未来人,
にじさんじ甲子園2021で優勝したのは？,,加賀美実業高校,神速高校,にじさんじ高校,VR関西圏立高校,
社築と笹木咲がメインの公式番組は？,,レバガチャダイパン,にじさんじのB級バラエティ,にじヌ→ン,にじクイ,
名前に西が入っている世怜音演劇同好会のメンバーは？,,チグサ,サンゴ,アカネ,ヒスイ,
にじさんじの公式番組｢にじさんじ MIX UP!!｣の第1回に出演したのライバーは、「樋口楓」「シスター・クレア」ともう1人は誰か答えよ,,伏見ガク,シェリンバーガンディ,舞元啓介,ベルモンド・バンデラス,
にじさんじ運営の会社名は？,,ANYCOLOR,いちから,ホロライブプロダクション,有閑喫茶あにまーれ,
次の同期コラボタグのうち、適切な表記でないものは次のうちどれか,,ブルーズ,チューリップ組,SMC組,夜王国,
