問題文,画像ファイル,選択肢1,選択肢2,選択肢3,選択肢4,画像の著作権表記
世界で2番目に人口が多い国はどこでしょう,,インド,アメリカ,中国,インドネシア,
バチカン市国の人口は何人でしょう（２０１９）,,825人,1万6400人,3525人,1378人,
FIFAランキング（サッカーの世界ランキング）1位はどこでしょう,,ベルギー,ブラジル,フランス,イタリア,
ONE PIECEの連載が開始したのはいつでしょう,,1997年7月22日,1997年1月2日,2000年1月2日,1999年6月22日,
名探偵コナンの連載が開始した年はいつでしょう,,1994年,1991年,1999年,1997年,
沖縄県の人口は何人でしょう（2020年）,,145万人,140万人,142万人,151万人,
YouTubeがサービスを開始した年はいつでしょう,,2005年,2008年,2004年,2007年,
世界の国の数はいくつでしょう,,196,200,187,365,
東京オリンピックで日本が獲得した金メダルの数はいくつでしょう,,27,32,18,24,
アメリカの州の数はいくつでしょう,,50,46,13,49,
